City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sao Felix Do Xingu,BR,2022-02-05 21:41:42,-6.6447,-51.995,77.11,87,97,2.26
67,Jamestown,US,2022-02-05 21:41:42,42.097,-79.2353,22.32,49,75,9.22
68,Narsaq,GL,2022-02-05 21:39:33,60.9167,-46.05,3.42,71,42,7.45
69,Voznesenye,RU,2022-02-05 21:40:43,61.0106,35.4781,11.48,87,73,10.18
70,Antsohihy,MG,2022-02-05 21:41:43,-14.8796,47.9875,71.42,95,99,6.08
71,Farafangana,MG,2022-02-05 21:41:43,-22.8167,47.8333,78.21,91,100,36.51
72,Ahipara,NZ,2022-02-05 21:41:44,-35.1667,173.1667,73.08,93,99,5.99
73,Aranos,NA,2022-02-05 21:41:44,-24.1333,19.1167,80.44,34,61,12.03
74,Marstal,DK,2022-02-05 21:41:44,54.8562,10.5173,42.71,95,100,34.87
75,Cabo San Lucas,MX,2022-02-05 21:41:45,22.8909,-109.9124,75.51,62,20,1.99
76,Harper,LR,2022-02-05 21:41:45,4.375,-7.7169,79.83,84,17,9.4
77,Lubango,AO,2022-02-05 21:41:46,-14.9172,13.4925,59.7,53,89,1.14
78,Pa Sang,TH,2022-02-05 21:41:46,18.5262,98.9394,72.01,63,90,1.45
79,Hermanus,ZA,2022-02-05 21:41:47,-34.4187,19.2345,68.81,83,26,14.67
80,Bethel,US,2022-02-05 21:41:47,41.3712,-73.414,26.04,72,5,3.0
81,Victoria,HK,2022-02-05 21:38:08,22.2855,114.1577,60.24,83,100,4.0
82,Porto Walter,BR,2022-02-05 21:41:48,-8.2686,-72.7439,86.04,56,99,5.57
83,Camacha,PT,2022-02-05 21:41:48,33.0833,-16.3333,63.54,88,40,17.27
84,Constitucion,CL,2022-02-05 21:41:49,-35.3333,-72.4167,67.78,60,2,16.2
85,Ust-Tsilma,RU,2022-02-05 21:41:49,65.441,52.1498,-8.0,100,96,3.85
86,Luderitz,NA,2022-02-05 21:41:49,-26.6481,15.1594,67.28,81,95,5.12
87,Lasa,IT,2022-02-05 21:41:50,46.6166,10.7002,36.86,46,3,3.31
88,Yellowknife,CA,2022-02-05 21:40:02,62.456,-114.3525,-7.58,85,75,6.91
89,Paita,PE,2022-02-05 21:38:25,-5.0892,-81.1144,82.96,73,3,17.6
90,Mahebourg,MU,2022-02-05 21:40:35,-20.4081,57.7,79.25,89,40,12.66
91,Marinette,US,2022-02-05 21:42:51,45.1,-87.6307,16.25,85,100,6.91
