City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
230,aden,YE,76.69,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
238,loandjili,CG,75.31,few clouds,-4.7561,11.8578,Résidence ARCHANGE
240,isabela,PH,84.25,overcast clouds,6.7085,121.9711,Isawad Resort
241,benjamin constant,BR,77.13,light rain,-4.3831,-70.0311,CASA AVALIADA
244,quatre cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
251,inirida,CO,77.31,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
258,key west,US,72.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
259,matara,LK,77.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
260,acari,PE,73.96,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
261,hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
262,alappuzha,IN,74.12,few clouds,9.49,76.3264,Panoramic Sea Resort
265,west bay,KY,78.01,broken clouds,19.3667,-81.4167,Calypso Cove
268,humaita,BR,73.99,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
274,imbituba,BR,76.89,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
278,sao gabriel da cachoeira,BR,72.82,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
280,luanda,AO,73.65,overcast clouds,-8.8368,13.2343,Hotel Fórum
281,bandarbeyla,SO,74.46,overcast clouds,9.4942,50.8122,JABIR HOTEL
283,corralillo,CU,73.47,clear sky,22.9819,-80.5856,Hostal De Pedri
284,grand gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
287,banda aceh,ID,77.16,overcast clouds,5.5577,95.3222,Sulthan Hotel International
289,itarema,BR,79.25,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
297,linhares,BR,73.31,clear sky,-19.3911,-40.0722,Hotel Conceição
300,manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
302,nacala,MZ,74.03,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
310,cozumel,MX,74.95,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
313,progreso,MX,71.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
314,barra do corda,BR,72.99,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
315,plettenberg bay,ZA,70.81,clear sky,-34.0527,23.3716,Thanda Vista B&B
316,dingle,PH,82.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
317,vallenar,CL,70.5,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
330,pedernales,DO,75.97,few clouds,18.0384,-71.744,Hotel Costa Marina
331,inhambane,MZ,76.73,broken clouds,-23.865,35.3833,Oceano
332,barra patuca,HN,74.77,clear sky,15.8,-84.2833,
335,morondava,MG,80.8,moderate rain,-20.2833,44.2833,La Case Bambou
337,tabuk,PH,71.98,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
338,jaru,BR,73.54,overcast clouds,-10.4389,-62.4664,Hotel Paraná
343,manakara,MG,77.58,overcast clouds,-22.1333,48.0167,La Residence Manakara
344,aracoiaba,BR,73.85,scattered clouds,-4.3711,-38.8142,Bar Redondo e Pousada
345,cockburn town,TC,75.16,few clouds,21.4612,-71.1419,Osprey Beach Hotel
346,bida,NG,74.86,clear sky,9.0833,6.0167,Royal Suite
347,pontes e lacerda,BR,70.27,overcast clouds,-15.2261,-59.3353,Hotel Bressan
350,hobyo,SO,75.7,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
351,picton,AU,73.58,broken clouds,-34.1833,150.6,Picton Valley Motel
357,mandiana,GN,71.65,clear sky,10.6333,-8.6833,Motels rouzo
359,walvis bay,,70.75,overcast clouds,-22.9575,14.5053,Oyster Box Guesthouse
367,sao joao da barra,BR,76.62,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
372,pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
374,manavalakurichi,IN,77.09,scattered clouds,8.1333,77.3,Jebinrio home
380,kanigiri,IN,70.12,broken clouds,15.4,79.5167,COMFORT INN
386,lodja,CD,70.05,overcast clouds,-3.4833,23.4333,
388,la asuncion,VE,78.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
391,camana,PE,71.55,overcast clouds,-16.6228,-72.7111,Hostal Morales
393,alta floresta,BR,72.39,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
402,conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
405,maxixe,MZ,75.72,broken clouds,-23.8597,35.3472,Oceano
425,prainha,BR,73.36,heavy intensity rain,-1.8,-53.48,Casa Rocha
426,takoradi,GH,79.05,overcast clouds,4.8845,-1.7554,Raybow International Hotel
433,french harbor,HN,73.4,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
444,alvaraes,BR,78.67,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
448,itupiranga,BR,73.44,heavy intensity rain,-5.1347,-49.3267,Hotel Panorama
449,kismayo,SO,77.58,overcast clouds,-0.3582,42.5454,Agan-Hotel
454,saint-joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
456,dinguiraye,GN,70.16,clear sky,11.3,-10.7167,
459,cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
477,belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
481,dzaoudzi,YT,80.49,broken clouds,-12.7887,45.2699,Le Rocher
486,harper,LR,78.94,overcast clouds,4.375,-7.7169,Screensaver
487,sinazongwe,ZM,73.36,overcast clouds,-17.2614,27.4618,Lakeview Lodge
490,sambava,MG,74.53,scattered clouds,-14.2667,50.1667,Melrose
492,george town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
493,kensington,AU,75.76,light rain,-33.9167,151.2167,Meriton Suites Zetland
496,huarmey,PE,71.44,overcast clouds,-10.0681,-78.1522,Hotel Miramar
501,kerouane,GN,70.48,clear sky,9.2667,-9.0167,
504,mumford,GH,79.29,overcast clouds,5.2618,-0.759,Spanish Villa
505,tirumullaivasal,IN,75.78,overcast clouds,11.2333,79.8333,Almupaark complex
506,sao paulo de olivenca,BR,73.38,light rain,-3.3783,-68.8725,
511,wukari,NG,70.3,clear sky,7.85,9.7833,Elimtop
515,khorixas,,70.95,light rain,-20.3667,14.9667,Khorixas Lodge
516,jilib,SO,74.52,overcast clouds,0.4883,42.7854,Waadi Hotel
